timestamp,si(t),a(t),mm(t),mt(t),mq(t),mr(t),r(t),cm(t),ct(t),cq(t),cr(t),em(t),et(t),q(t),zmm(t),zmt(t),zmq(t),zmr(t)
27.0,0.21323955990723714,88.69373065873023,1.2809280540524241e-7,1.2809280540524204e-7,1.2809280540524218e-7,1.2809280540524207e-7,10.002458648577159,6.471435943681583e-5,6.471435943681576e-5,6.471435943681566e-5,6.47143594368156e-5,0.0029291856369383154,0.002929185636938313,0.00292918563693832,0.0,0.0,0.0,0.0
28.0,0.21321396638096154,108.45582648130727,1.6395004296960558e-7,1.6395004296960545e-7,1.6395004296960563e-7,1.6395004296960553e-7,10.003168790094765,7.249715791381727e-5,7.249715791381715e-5,7.249715791381708e-5,7.249715791381707e-5,0.003728199647470223,0.003728199647470223,0.0037281996474702287,0.0,0.0,0.0,0.0
29.0,0.21322728138642888,133.64945698949765,2.0954288017289817e-7,2.0954288017289787e-7,2.0954288017289952e-7,2.0954288017289904e-7,10.004093316491751,8.127882436298501e-5,8.12788243629845e-5,8.127882436298509e-5,8.127882436298494e-5,0.004762604705829231,0.004762604705829232,0.004762604705829248,0.0,0.0,0.0,0.0
30.0,0.21316407737204288,165.84351501609015,2.667640985087607e-7,2.667640985087601e-7,2.667640985087581e-7,2.667640985087584e-7,10.005290069476713,9.113621450087837e-5,9.113621450087857e-5,9.113621450087763e-5,9.113621450087755e-5,0.006095079459177629,0.006095079459177623,0.006095079459177642,0.0,0.0,0.0,0.0
31.0,0.21323783623616013,207.0423029546886,3.372964273697096e-7,3.3729642736971246e-7,3.372964273697054e-7,3.3729642736970536e-7,10.00682808406765,0.00010209787433367517,0.00010209787433367604,0.00010209787433367399,0.00010209787433367394,0.007800159473681519,0.00780015947368151,0.007800159473681505,0.0,0.0,0.0,0.0
32.0,0.21313792289052955,259.7737975722073,4.2164324792566146e-7,4.216432479256654e-7,4.21643247925657e-7,4.2164324792565903e-7,10.008783388889427,0.00011416420092342659,0.00011416420092342773,0.00011416420092342497,0.00011416420092342548,0.009959797321666774,0.009959797321666783,0.009959797321666727,0.0,0.0,0.0,0.0
33.0,0.21325416285452145,327.0111185345167,5.211652623399266e-7,5.211652623399303e-7,5.211652623399206e-7,5.211652623399213e-7,10.011237115726605,0.00012732199120085673,0.00012732199120085773,0.0001273219912008554,0.0001273219912008555,0.012661387606772807,0.01266138760677283,0.012661387606772706,0.0,0.0,0.0,0.0
34.0,0.21326050295585952,412.27555581231843,6.34401752416527e-7,6.34401752416529e-7,6.344017524165239e-7,6.344017524165195e-7,10.014267618824789,0.00014151049717555102,0.00014151049717555153,0.00014151049717555077,0.00014151049717554966,0.01598912604411355,0.01598912604411359,0.015989126044113428,0.0,0.0,0.0,0.0
35.0,0.2131562039894261,519.7010905670874,7.591804229570284e-7,7.59180422957029e-7,7.591804229570239e-7,7.591804229570244e-7,10.017947796525148,0.0001566286367451306,0.0001566286367451308,0.0001566286367451297,0.00015662863674512998,0.020021153553995554,0.020021153553995592,0.02002115355399541,0.0,0.0,0.0,0.0
36.0,0.21315952595048876,653.8248096844975,8.945389955461445e-7,8.945389955461452e-7,8.945389955461437e-7,8.94538995546143e-7,10.022340999705069,0.0001725785016566196,0.00017257850165661965,0.0001725785016566195,0.0001725785016566194,0.024825333579343682,0.02482533357934369,0.02482533357934347,0.0,0.0,0.0,0.0
37.0,0.21317509291285341,819.5396761288955,1.0375848282478017e-6,1.0375848282478122e-6,1.0375848282478302e-6,1.0375848282477877e-6,10.027497862536018,0.0001892519837580531,0.00018925198375805484,0.00018925198375805858,0.0001892519837580502,0.030455778314060777,0.030455778314060787,0.030455778314060634,0.0,0.0,0.0,0.0
38.0,0.21287063792098224,1022.1369193394621,1.1853655890118954e-6,1.185365589011904e-6,1.1853655890119287e-6,1.1853655890118717e-6,10.033453891270105,0.0002065324196951877,0.00020653241969518908,0.00020653241969519328,0.00020653241969518382,0.03695025675981377,0.03695025675981381,0.036950256759813754,0.0,0.0,0.0,0.0
39.0,0.2138186204124678,1267.053609555815,1.3366542989706217e-6,1.3366542989706403e-6,1.3366542989706554e-6,1.3366542989706151e-6,10.040234466707401,0.00022431963742429152,0.00022431963742429478,0.00022431963742429765,0.00022431963742429017,0.04433569484963744,0.04433569484963755,0.044335694849637605,0.0,0.0,0.0,0.0
40.0,0.21310017425280037,1559.9171559201698,1.4893729923702914e-6,1.4893729923703261e-6,1.4893729923703314e-6,1.4893729923702872e-6,10.04785421299287,0.00024252282067224694,0.0002425228206722521,0.00024252282067225306,0.0002425228206722459,0.05262746431196983,0.052627464311970115,0.05262746431197027,0.0,0.0,0.0,0.0
41.0,0.21352392010253146,1906.384941174948,1.6426095307322094e-6,1.642609530732223e-6,1.6426095307322422e-6,1.6426095307322092e-6,10.056320408135791,0.00026106395141333724,0.0002610639514133399,0.00026106395141334347,0.00026106395141333756,0.061833073694357546,0.06183307369435799,0.06183307369435822,0.0,0.0,0.0,0.0
42.0,0.2132220496427218,2312.1883138759717,1.795392438641761e-6,1.7953924386417531e-6,1.7953924386417857e-6,1.7953924386417616e-6,10.065635060520224,0.00027987807365524944,0.00027987807365524846,0.00027987807365525345,0.0002798780736552496,0.0719544077606528,0.07195440776065333,0.07195440776065373,0.0,0.0,0.0,0.0
43.0,0.2132874442774192,2783.036501945291,1.9473154015295725e-6,1.9473154015295843e-6,1.9473154015296127e-6,1.947315401529574e-6,10.075796624132344,0.000298911383379384,0.00029891138337938527,0.00029891138337939037,0.0002989113833793842,0.08298956809028377,0.08298956809028431,0.08298956809028485,0.0,0.0,0.0,0.0
44.0,0.2132364931533592,3324.6323328371054,2.09801075086122e-6,2.098010750861267e-6,2.0980107508613134e-6,2.0980107508612312e-6,10.086801606096598,0.00031812042545064815,0.00031812042545065525,0.0003181204254506623,0.00031812042545064983,0.0949346023705529,0.09493460237055365,0.0949346023705544,0.0,0.0,0.0,0.0
45.0,0.21320262039069426,3942.6454804258005,2.247339026367659e-6,2.2473390263677148e-6,2.2473390263677745e-6,2.247339026367672e-6,10.098645217421483,0.00033746976699922137,0.0003374697669992301,0.00033746976699923877,0.00033746976699922375,0.1077841958007335,0.1077841958007346,0.10778419580073564,0.0,0.0,0.0,0.0
46.0,0.21321504759268167,4642.708939854546,2.395228487980365e-6,2.3952284879803784e-6,2.395228487980365e-6,2.3952284879803505e-6,10.111322367165602,0.0003569311329193099,0.00035693113291931195,0.00035693113291930995,0.0003569311329193079,0.12153273897114106,0.12153273897114228,0.1215327389711435,0.0,0.0,0.0,0.0
47.0,0.21321215100313656,5430.419710094475,2.5416346482611083e-6,2.541634648261111e-6,2.541634648261064e-6,2.541634648261084e-6,10.124827653006305,0.0003764814744036195,0.00037648147440362,0.00037648147440361276,0.0003764814744036155,0.13617430936945765,0.13617430936945893,0.13617430936945996,0.0,0.0,0.0,0.0
48.0,0.213228220923075,6311.334563925979,2.686615824836034e-6,2.6866158248360457e-6,2.6866158248360466e-6,2.6866158248360106e-6,10.139155990237201,0.00039610240347721324,0.00039610240347721535,0.0003961024034772157,0.00039610240347721096,0.15170334693582746,0.15170334693582876,0.15170334693582962,0.0,0.0,0.0,0.0
49.0,0.21322152451963075,7290.974697861527,2.83014790506607e-6,2.8301479050660883e-6,2.8301479050661324e-6,2.830147905066056e-6,10.154302492028235,0.00041577899766641335,0.0004157789976664161,0.0004157789976664226,0.00041577899766641113,0.16811451984205525,0.1681145198420567,0.16811451984205777,0.0,0.0,0.0,0.0
50.0,0.2132175547732398,8374.824648478398,2.972274036338365e-6,2.972274036338452e-6,2.9722740363384944e-6,2.972274036338403e-6,10.170262461049253,0.0004354989754313944,0.00043549897543140696,0.0004354989754314137,0.0004354989754314005,0.1854027119075058,0.18540271190750773,0.18540271190750907,0.0,0.0,0.0,0.0
51.0,0.21321989595970478,9568.336260618973,3.113067608303627e-6,3.1130676083036818e-6,3.113067608303641e-6,3.1130676083036276e-6,10.187031745378954,0.00045525254972284197,0.0004552525497228498,0.0004552525497228444,0.0004552525497228417,0.20356340560010563,0.20356340560010813,0.2035634056001094,0.0,0.0,0.0,0.0
